X,Y
5,89
89,98
14,87
43,51
64,66
30,34
63,22
46,71
28,81
48,36
37,15
45,93
37,33
67,87
30,76
49,71
59,30
78,92
18,32
21,56
40,43
91,79
60,39
16,81
61,26
44,43
39,95
10,45
65,8
22,51
4,28
29,20
13,64
48,12
46,22
15,86
81,36
67,30
20,94
42,18
8,52
21,4
100,75
88,67
77,66
18,84
40,18
63,93
23,93
2,25
23,38
13,28
12,11
63,76
76,70
91,73
4,94
27,73
90,29
25,65
44,100
75,25
17,49
61,35
35,34
8,3
100,50
67,21
71,56
91,4
39,54
36,100
70,87
33,68
90,70
54,62
68,31
79,97
38,16
57,51
25,95
30,58
39,56
47,100
96,12
36,44
38,39
42,4
60,30
89,12
84,30
18,80
81,23
82,5
34,76
90,84
92,34
89,82
78,90
18,59
59,88
94,78
94,27
7,97
68,35
44,79
87,7
80,21
94,62
88,45
35,89
67,24
45,82
30,63
44,11
53,100
3,50
65,7
71,72
2,68
23,48
92,28
3,33
57,41
53,100
67,96
33,23
30,44
28,89
62,86
44,75
75,57
4,66
1,63
96,69
5,53
86,33
37,66
55,73
8,67
38,77
21,48
93,24
43,38
18,59
55,60
77,29
19,20
8,85
93,94
73,41
35,72
9,1
29,85
38,100
93,53
84,93
79,100
51,77
84,44
91,7
18,45
11,86
82,41
69,13
23,48
58,44
86,52
22,95
67,77
54,85
51,92
35,49
88,47
2,59
96,73
84,2
96,15
32,65
77,67
17,19
95,87
80,35
54,5
61,70
55,96
79,75
7,94
74,83
48,5
51,12
18,52
87,44
45,28
73,68
27,70
87,37
31,33
67,66
98,90
52,60
24,14
60,21
52,2
63,8
76,16
54,16
23,45
81,35
49,75
88,57
55,34
71,48
39,50
60,47
28,13
65,10
9,69
21,35
15,14
63,71
61,26
31,70
32,43
68,67
99,62
44,22
53,52
52,47
17,81
6,64
90,71
9,80
4,20
51,94
14,32
23,36
3,14
62,50
62,82
4,51
89,9
27,88
16,45
14,61
14,46
91,25
94,85
44,19
11,88
99,89
97,22
42,14
68,25
64,91
59,36
71,11
16,82
8,27
100,36
4,50
38,50
42,83
60,96
94,29
65,80
55,45
39,89
36,32
63,8
15,8
86,52
49,25
70,65
76,12
22,41
73,70
64,45
37,17
93,13
23,18
92,91
13,26
22,42
23,68
62,10
17,42
65,38
22,57
57,50
5,36
77,85
29,26
67,37
28,77
62,74
48,6
99,84
8,74
38,64
89,87
46,79
85,89
37,31
69,66
98,56
80,26
11,56
62,59
69,81
9,56
79,23
78,86
81,86
24,32
46,41
33,86
26,41
88,30
64,59
80,20
70,12
97,13
94,63
30,45
40,1
50,4
11,35
89,71
4,14
80,60
71,80
82,26
60,23
38,20
61,5
23,40
74,9
90,30
52,47
96,91
51,22
24,10
62,34
99,90
29,62
6,67
36,41
75,81
28,81
38,79
73,92
96,56
16,57
92,50
94,13
75,45
7,54
4,98
85,92
47,23
46,12
46,36
39,58
67,50
81,80
65,67
43,53
78,53
89,54
37,20
49,70
84,65
97,92
65,5
96,10
50,51
18,73
23,46
65,43
6,86
28,41
9,62
68,25
15,67
42,39
68,52
68,18
70,69
31,68
77,27
61,10
21,97
35,67
60,75
23,7
96,25
11,34
73,48
88,38
66,97
98,1
40,72
87,26
17,17
62,19
6,95
44,85
79,16
52,60
87,80
95,68
34,24
35,40
62,83
30,6
92,3
66,90
67,42
26,79
48,69
26,43
82,54
49,64
98,92
97,28
34,67
78,75
25,67
88,9
37,77
63,64
3,99
21,51
80,22
58,63
45,1
97,96
80,65
2,45
60,91
48,76
38,36
41,52
81,52
16,60
63,75
16,34
82,40
81,81
94,10
83,21
46,41
60,77
66,38
25,10
100,41
81,90
25,21
1,73
43,84
61,48
16,94
71,55
58,43
91,22
11,44
33,83
53,45
97,28
76,10
94,79
47,3
67,74
14,65
28,19
32,14
60,85
21,29
8,4
87,14
26,53
84,23
87,38
37,85
31,76
12,84
98,14
53,56
11,62
99,39
87,15
65,78
1,13
14,39
73,48
43,78
67,42
27,9
89,92
84,16
64,88
66,77
3,3
9,37
59,86
25,7
65,45
52,63
22,24
12,97
18,89
22,15
100,88
96,83
28,73
62,42
1,49
75,96
54,62
16,78
8,75
1,96
52,73
11,10
48,25
69,93
4,49
35,95
98,41
16,62
49,78
88,28
76,8
97,90
2,21
45,98
49,12
33,19
90,89
76,88
62,37
78,62
37,46
68,16
46,44
66,2
60,43
61,92
71,67
63,84
20,21
93,23
45,76
26,8
16,10
66,19
65,2
76,1
88,32
21,11
78,36
12,66
36,58
36,2
45,19
55,38
75,11
39,57
55,52
67,48
6,56
57,90
50,59
19,68
29,75
46,27
23,61
96,1
83,63
70,42
89,61
61,34
2,7
70,100
81,72
5,62
47,96
69,21
94,47
87,56
80,36
90,13
78,43
61,4
2,38
94,30
25,34
81,25
35,33
10,35
67,9
75,57
36,38
59,89
67,86
13,77
4,70
86,65
97,65
69,52
90,38
36,80
14,34
2,97
81,63
10,71
25,24
88,30
50,63
2,20
5,49
74,11
