X,Y
57,54
82,68
49,85
78,53
76,23
55,62
49,41
87,94
56,87
47,79
71,81
66,1
68,24
91,46
16,40
32,47
64,99
17,60
34,87
51,94
78,35
79,63
4,77
71,7
38,53
88,28
74,16
15,57
76,89
53,1
68,91
38,91
99,43
20,82
9,74
25,13
67,87
48,81
11,2
1,64
64,98
82,79
88,5
32,99
24,17
32,83
1,6
52,73
55,19
99,38
82,60
60,34
45,23
18,28
28,89
61,30
7,3
60,53
29,86
64,70
25,30
19,61
51,52
78,16
94,27
77,38
12,76
84,10
72,38
35,15
52,36
26,50
41,30
21,49
67,10
94,63
52,71
47,71
92,11
36,28
18,44
53,66
54,13
38,40
28,9
94,7
70,37
21,32
75,60
96,90
50,56
21,13
65,43
24,4
35,66
34,73
4,93
100,79
60,62
76,84
